"query_id","object_id","hypothesis_direction","query_text","source_target","source_tier","result_summary","source_ids_or_urls","status","checked_at"
"Q-ODY-008","O-002","disconfirming","Odyssey named customer paid pilot production deployment revenue","customer and independent adoption sources","T2","No named customer-side paid pilot production deployment or revenue evidence recovered","S-ODY-002;S-ODY-006","closed_negative_finding","2026-07-14"
"Q-ODY-009","O-002","disconfirming","Odyssey public model weights training code self-host license","official artifact search","T1","No public Odyssey-2 server weights training code self-host path or model license recovered","S-ODY-003;S-ODY-013","closed_negative_finding","2026-07-14"
"Q-RUN-001","O-003","supporting","Runway GWM Worlds real-time navigation spatial consistency early access","official research page","T1","Recovered Worlds action-conditioning company claims and application form","S-RUN-001","closed","2026-07-14"
"Q-RUN-002","O-003","supporting","Runway GWM Robotics action-conditioned counterfactual rollout SDK","official research page","T1","Recovered separate Robotics rollout and Python SDK path","S-RUN-001","closed","2026-07-14"
"Q-RUN-003","O-003","supporting","Runway robot policy relative-ranking evaluation single Franka tabletop domain","official evaluation page","T1","Recovered company-run evaluation and explicit method limits","S-RUN-004","closed","2026-07-14"
"Q-RUN-004","O-003","supporting","Runway Robotics Policy Model Python SDK cloud API action chunks","official product page","T1","Recovered custom-scoped policy and cloud inference route","S-RUN-005","closed","2026-07-14"
"Q-RUN-005","O-003","supporting","Runway Robotics direct model access fine-tune on-prem licensing","official product page","T1","Recovered supplier-offered route without public license text","S-RUN-006","closed","2026-07-14"
"Q-RUN-006","O-003","supporting","Runway GWM roadmap Cosmos Coalition physical AI","official announcement","T1","Recovered future cooperation initiative only","S-RUN-008","closed","2026-07-14"
"Q-RUN-007","O-003","disconfirming","GWM Worlds independent access test long-horizon spatial consistency","independent product and validation sources","T2","No independent actual-access confirmation or long-horizon reproduction recovered","S-RUN-001","closed_negative_finding","2026-07-14"
"Q-RUN-008","O-003","disconfirming","GWM Robotics absolute success calibration cross embodiment limitation","official limitations and independent validation","T1-T2","Official study only ranks policies and is scoped to one Franka tabletop domain; no independent reproduction","S-RUN-004","closed","2026-07-14"
"Q-RUN-009","O-003","disconfirming","Runway GWM public weights code model license price SLA","official artifact and legal search","T1","No public Worlds weights code model license price or SLA recovered","S-RUN-001;S-RUN-002","closed_negative_finding","2026-07-14"
"Q-RUN-010","O-003","disconfirming","NVIDIA Berkshire Grey confirm Runway GWM Robotics pilot integration","partner first-party sources","T1-T2","Only Runway company statement recovered; no partner-side confirmation","S-RUN-004","closed_negative_finding","2026-07-14"
"Q-RUN-011","O-003","disconfirming","Runway GWM paid customer production deployment revenue","customer or independent adoption sources","T2","No named paid pilot production deployment or revenue evidence recovered","S-RUN-004","closed_negative_finding","2026-07-14"
"Q-RUN-012","O-003","disconfirming","Can Characters API or creative customers support GWM access or adoption","component-boundary audit","T1","No; Characters and creative platform evidence are separate and excluded","S-RUN-001","closed","2026-07-14"
"Q-DEC-001","O-004","supporting","Oasis 3 Preview stateful actions throttle steering multiview frames","official API documentation","T1","Recovered stateful repeated action interface and three camera streams","S-DEC-004","closed","2026-07-14"
"Q-DEC-002","O-004","supporting","Decart Oasis 3 API pricing 0.02 per second test credits","official pricing documentation","T1","Recovered public metered pricing and account test credits","S-DEC-008","closed","2026-07-14"
"Q-DEC-003","O-004","supporting","Decart Oasis 3 Python SDK PyPI GitHub","official artifacts","T1","Recovered public thin client and hosted endpoint integration","S-DEC-005;S-DEC-006","closed","2026-07-14"
"Q-DEC-004","O-004","supporting","Decart Oasis 3 playable browser independent hands-on","independent product test","T2","Independent reporter confirmed product experience and supplied counterevidence","S-DEC-007","closed","2026-07-14"
"Q-DEC-005","O-004","supporting","Decart Oasis 3 reinforcement learning API route","official documentation","T1","Recovered supplier-documented RL/environment loop","S-DEC-004","closed","2026-07-14"
"Q-DEC-006","O-004","supporting","Decart enterprise pricing product integration route","official pricing and terms","T1","Recovered commercial contact and business-use contract path; no customer evidence","S-DEC-008;S-DEC-009","closed","2026-07-14"
"Q-DEC-007","O-004","disconfirming","Oasis 3 route memory control collision physics independent test","independent hands-on","T2","Recovered route-memory control drift and nonphysical collision failures","S-DEC-007","closed","2026-07-14"
"Q-DEC-008","O-004","disconfirming","Decart API Beta revocable no SLA zero liability","official legal text","T1","Recovered Beta status revocable rights no uninterrupted guarantee and zero Beta liability cap","S-DEC-009","closed","2026-07-14"
"Q-DEC-009","O-004","disconfirming","Oasis 3 public model weights server code model license self-host","official artifact search","T1","Only thin client artifacts recovered; no hosted model weights or self-host server","S-DEC-005;S-DEC-006;S-DEC-009","closed_negative_finding","2026-07-14"
"Q-DEC-010","O-004","disconfirming","Decart named customer paid pilot production deployment revenue Oasis 3","customer and independent adoption sources","T2","No named customer paid pilot production deployment or revenue evidence recovered","S-DEC-007;S-DEC-008","closed_negative_finding","2026-07-14"
"Q-DEC-011","O-004","disconfirming","Decart input output data training rights enterprise risk","official legal text","T1","Recovered broad service-improvement and model-training license while developer retains ownership","S-DEC-009","closed","2026-07-14"
"Q-DEC-012","O-004","disconfirming","Can DOS Lucy or old Oasis adoption support Oasis 3","component-boundary audit","T1","No; adjacent components and prior products are isolated","S-DEC-001;S-DEC-004","closed","2026-07-14"
"Q-NV-001","O-005","supporting","Cosmos 3 omnimodal physical AI technical report actions","official paper and research page","T1","Recovered action tasks and public model materials","S-NV-001;S-NV-008","closed","2026-07-14"
"Q-NV-002","O-005","disconfirming","Cosmos 3 limitations action-state drift collisions physics","official model card limitations","T1","Recovered drift geometry persistence collision and no-explicit-physics limitations","S-NV-002","closed","2026-07-14"
"Q-NV-003","O-005","supporting","NVIDIA Cosmos 3 launch partners Agile Robots","vendor and partner sources","T1","Recovered launch and partner-side early access testing and integration","S-NV-006","closed","2026-07-14"
"Q-NV-004","O-005","supporting","Cosmos3 Generator NIM action API","official NIM documentation","T1","Result reversed hypothesis: NIM support matrix only lists T2V and I2V","S-NV-003;S-NV-009;S-NV-010","closed","2026-07-14"
"Q-NV-005","O-005","supporting","NVIDIA cosmos GitHub forward dynamics inverse dynamics policy action","official model card repository and upstream merge record","T1","Recovered vendor-documented self-host online paths for policy forward dynamics and inverse dynamics; PR 4102 records only its 2026-06-03 policy/forward merge-date subset; independent execution stable release action NIM and SLA remain unestablished","S-NV-002;S-NV-004;S-NV-018","closed_version_refreshed_red_team","2026-07-14"
"Q-NV-006","O-005","supporting","Cosmos 3 OpenMDW model license commercial use","original license","T1","Recovered component-scoped model-material license","S-NV-007","closed","2026-07-14"
"Q-NV-007","O-005","disconfirming","Cosmos 3 paid customer external production deployment","customer and independent adoption sources","T2","No auditable paid or customer-side external production evidence recovered","S-NV-006;S-NV-012;S-NV-013","closed_negative_finding","2026-07-14"
"Q-NV-008","O-005","disconfirming","Cosmos 3 independent benchmark physics reproduction","independent technical sources","T2","No independent system reproduction recovered; official limitations and media caution retained","S-NV-002;S-NV-014","closed_negative_finding","2026-07-14"
"Q-NV-009","O-005","disconfirming","Cosmos 3 action generation unsupported NIM vLLM","official product documentation model card repository and upstream merge record","T1","Action NIM is not established; in the NIM for Cosmos WFM 3.0.0 documentation snapshot, Cosmos3-Generator Release 1.0.0 is initial GA and lists only T2V/I2V; fixed NVIDIA revisions document policy forward and inverse vLLM-Omni online paths, but these remain vendor-documented and not independently executed or confirmed as a precise stable release","S-NV-002;S-NV-004;S-NV-009;S-NV-010;S-NV-018","closed_version_refreshed_red_team","2026-07-14"
"Q-NV-010","O-005","disconfirming","Cosmos 3 AMD non-NVIDIA hardware support","official model and support matrix","T1","No official non-NVIDIA inference path recovered","S-NV-002;S-NV-010","closed_negative_finding","2026-07-14"
"Q-NV-011","O-005","disconfirming","Cosmos 3 customer revenue contract production","partner and customer sources","T1-T2","Partner self-reports found but no contract amount payment or customer-side confirmation","S-NV-012;S-NV-013","closed_negative_finding","2026-07-14"
"Q-NV-012","O-005","supporting","Agile Robots Cosmos 3 independent coverage","partner and independent sources","T1-T2","Only partner self-report and launch coverage; no deployment validation","S-NV-006;S-NV-014","closed","2026-07-14"
"Q-NV-013","O-005","disconfirming","Ailytics Cosmos 3 customer beta corroboration","customer-side sources","T1-T2","Only Ailytics self-report and reposts; no customer-side confirmation","S-NV-013","closed_negative_finding","2026-07-14"
"Q-NV-014","O-005","supporting","Axios independent Cosmos 3 launch platform coverage","independent media","T2","Independent coverage confirms launch and platform positioning, not performance or adoption","S-NV-014","closed","2026-07-14"
"Q-NV-015","O-005","disconfirming","Cosmos 3 production readiness licensing dependency hardware","official and independent risk sources","T1-T2","Recovered component licenses hardware binding and production validation gaps","S-NV-002;S-NV-007;S-NV-010;S-NV-011","closed","2026-07-14"
"Q-NV-016","O-005","disconfirming","RoboArena Cosmos3 current ranking drift","dynamic leaderboard and independent media","T1-T2","Technical-report first-place claim is a historical snapshot and later leaderboard changed","S-NV-015;S-NV-016","closed","2026-07-14"
