"queue_id","dr_id","object_id","claim_or_question","source_title_hint","publisher_hint","url_hint","priority","reopen_status","canonical_url","notes"
"Q-011","DR-02","O-002","Odyssey causal action-aware world model","Odyssey-2","Odyssey","odyssey.ml","P0","opened_canonical","https://odyssey.ml/introducing-odyssey-2","performance self-reported"
"Q-012","DR-02","O-003","Runway unit and GWM-1 capability/access","Introducing GWM-1","Runway","runwayml.com","P0","opened_and_unit_corrected","https://runwayml.com/research/introducing-runway-gwm-1","company-level startup; project is nested evidence"
"Q-013","DR-02","O-004","Oasis 3 closed-loop action conditioning","Oasis 3","Decart","decart.ai/oasis","P0","opened_canonical","https://decart.ai/oasis","availability/performance still company-reported"
"Q-014","DR-02/03","O-005","Cosmos core components action support and access","Cosmos 3","NVIDIA","research.nvidia.com","P0","opened_component_split","https://research.nvidia.com/labs/cosmos-lab/cosmos3/","core/NIM/adjacent tools separated"
"Q-015","DR-02/03","O-006","Genie 3 core versus Project Genie","Genie 3 and Project Genie","Google DeepMind","deepmind.google","P0","opened_component_split","https://deepmind.google/blog/genie-3-a-new-frontier-for-world-models/","research model and multi-component prototype separated"
"Q-016","DR-02/03","O-007","V-JEPA 2 base versus 2-AC","V-JEPA 2","Meta AI","ai.meta.com","P0","opened_component_split","https://ai.meta.com/blog/v-jepa-2-world-model-benchmarks/","base action-free; 2-AC required for action gate"
"Q-017","DR-02","O-008","MIRA action-conditioned domain and physical transfer","MIRA","General Intuition","mira-wm.com","P0","opened_downgraded","https://mira-wm.com/blog-post/","Rocket League domain only; physical transfer future"
"Q-018","DR-02","O-009","AMI concrete technical asset","AMI Labs","AMI Labs","amilabs.xyz","P0","opened_self_positioned_only","https://amilabs.xyz/","no model paper product demo or benchmark recovered"
"Q-019","DR-02","O-010","Gemini Robotics category","Gemini Robotics","Google DeepMind","deepmind.google","P1","opened_excluded","https://deepmind.google/models/gemini-robotics/","VLA"
"Q-020","DR-02","O-011","Waymo category","Waymo World Model","Waymo","waymo.com","P1","opened_excluded","https://waymo.com/blog/2026/02/the-waymo-world-model-a-new-frontier-for-autonomous-driving-simulation/","vertical internal AV"
"Q-021","DR-02","O-012","1X category","1X World Model","1X","1x.tech","P1","opened_excluded","https://www.1x.tech/discover/redwood-ai-world-model","vertical robot component"
"Q-022","DR-02","O-013","Dexterity category","Foresight","Dexterity","dexterity.ai","P1","opened_excluded","https://dexterity.ai/blog/foresight","vertical robot component"
"Q-023","DR-02","O-014","Waabi category","Copilot4D","Waabi","waabi.ai","P1","opened_excluded","https://waabi.ai/introducing-copilot4d/","vertical AV component"
"Q-024","DR-02","O-015","Wayve category","GAIA-3","Wayve","wayve.ai","P1","opened_excluded","https://wayve.ai/press/wayve-launches-gaia3/","vertical AV component"
"Q-025","DR-02","O-016","FieldAI category","Technology","FieldAI","fieldai.com","P1","opened_excluded","https://www.fieldai.com/technology","robot foundation model/internal component"
"Q-026","DR-02","O-017","Applied Intuition category","WFM pipeline","Applied Intuition","appliedintuition.com","P1","opened_excluded","https://www.appliedintuition.com/engineering-blog/world-foundation-models-from-research-to-reality","simulation/data/toolchain"
"Q-027","DR-02","O-018","Genesis GENE and Genesis World categories","GENE and Genesis World","Genesis","genesis.ai; github.com","P1","opened_excluded","https://www.genesis.ai/press/press-release-gene-265","robot FM plus simulator"
"Q-028","DR-02","O-019","Physical Intelligence category","pi0","Physical Intelligence","pi.website","P1","opened_excluded","https://www.pi.website/blog/pi0","generalist robot policy/VLA"
"Q-029","DR-02","O-020","RLWRLD category","RLDX-1","RLWRLD","rlwrld.ai","P1","opened_excluded","https://www.rlwrld.ai/en/insight/blog/14","robot FM; world model future"
"Q-030","DR-02","O-021","Mistral qualifying object","Robostral and Physics AI","Mistral AI","mistral.ai","P1","opened_discarded_component_split","https://mistral.ai/news/robostral-navigate/","Robostral navigation policy and Emmi engineering physics surrogate are separate excluded components"
"Q-031","DR-02","O-022","Luma current technical object","Open Physical AI Lab","Luma AI","lumalabs.ai","P1","opened_boundary_pending","https://lumalabs.ai/news/luma-open-physical-ai-lab","future direction only"
"Q-032","DR-02","O-023","Sora 2 action-conditioned loop","Sora 2","OpenAI","openai.com","P1","opened_excluded","https://openai.com/index/sora-2/","video/audio generation; no continuous action loop"
"Q-033","red_team_v2","O-024","Overworld discovery qualification legal entity and technical assets","Overworld / Waypoint / World Engine","Overworld and AP","over.world; github.com/Overworldai; apnews.com","P1","opened_conditional_legal_unresolved","https://over.world/about","named first-party artifacts recovered; legal entity formal headquarters and auditable time-consistent agent or ego state transition remain unresolved"
"Q-034","red_team_v2","O-007","V-JEPA 2.1 version drift component capability and license","V-JEPA 2.1","Meta / arXiv","github.com/facebookresearch/vjepa2; arxiv.org/abs/2603.14482","P1","opened_component_split_license_partial","https://github.com/facebookresearch/vjepa2","2.1 is current action-free branch; robot results use separate AC predictor; checkpoint-specific licenses unresolved"
"Q-035","red_team_v2","MANIFOLD","RoboScape AirScape and Worldscape-MoE auxiliary assets","official papers repositories and model trees","author teams / Manifold","arxiv.org; github.com; huggingface.co","P1","opened_auxiliary_registry","https://manifoldai.cn/","all three registered as auxiliary assets only; no product or commercial-priority inference"
