"source_id","object_id","source_type","source_title","publisher","canonical_url","publication_or_update_date","access_date","version_or_commit","credibility","recency","bias","verification_status","source_file"
"S-ART-002","MANIFOLD","official_model_repository","Worldscape-MoE Hugging Face Repository","EmbodiedCity","https://huggingface.co/EmbodiedCity/Worldscape-MoE/tree/main","current_snapshot","2026-07-14","main file tree","primary_artifact","current","project_owner","opened_snapshot","04_evidence/sources/S-ART-002.md"
"S-WL-001","O-001","official_company_site","About World Labs","World Labs","https://www.worldlabs.ai/about","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-WL-001.md"
"S-WL-002","O-001","official_technical_blog","RTFM: A Real-Time Frame Model","World Labs","https://www.worldlabs.ai/blog/rtfm","2025-10-16","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-WL-002.md"
"S-WL-003","O-001","official_product_blog","Announcing the World API","World Labs","https://www.worldlabs.ai/blog/announcing-the-world-api","2026-01-21","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-WL-003.md"
"S-WL-004","O-001","official_terms","World Labs Terms of Service","World Labs Technologies Inc","https://www.worldlabs.ai/terms-of-service","2026-01-21","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-WL-004.md"
"S-ODY-001","O-002","official_technical_blog","Introducing Odyssey-2","Odyssey","https://odyssey.ml/introducing-odyssey-2","2025-10-27","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-ODY-001.md"
"S-ODY-002","O-002","official_legal_page","Odyssey Legal","Odyssey Systems Inc","https://odyssey.ml/legal","current","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-ODY-002.md"
"S-RUN-001","O-003","official_research_page","Introducing GWM-1","Runway","https://runwayml.com/research/introducing-runway-gwm-1","2025-12-11","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-RUN-001.md"
"S-RUN-002","O-003","official_terms","Runway Terms of Use","Runway AI Inc","https://runwayml.com/terms-of-use","2026-05-11","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-RUN-002.md"
"S-DEC-001","O-004","official_product_page","Oasis 3","Decart","https://decart.ai/oasis","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-DEC-001.md"
"S-DEC-002","O-004","official_terms","Decart.ai Terms of Use","Decart.AI Inc","https://www.decart.ai/terms","current","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-DEC-002.md"
"S-NV-001","O-005","official_research_page","Cosmos 3","NVIDIA Cosmos Lab","https://research.nvidia.com/labs/cosmos-lab/cosmos3/","2026","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-NV-001.md"
"S-NV-002","O-005","official_model_card","Cosmos3-Nano","NVIDIA","https://huggingface.co/nvidia/Cosmos3-Nano","2026-05-31","2026-07-14","HF revision 138d071cee76860b0d2acd253dc6a07a11e3f3c1","primary_artifact","versioned_snapshot","company_self_report","opened_versioned_red_team","04_evidence/sources/S-NV-002.md"
"S-NV-003","O-005","official_documentation","NVIDIA NIM for Cosmos WFM Introduction","NVIDIA","https://docs.nvidia.com/nim/cosmos/3.0.0/introduction.html","current","2026-07-14","3.0.0","primary_documentation","current","vendor_documentation","opened_versioned","04_evidence/sources/S-NV-003.md"
"S-NV-004","O-005","official_code_repository","nvidia/cosmos","NVIDIA","https://github.com/nvidia/cosmos","2026-06-01","2026-07-14","commit d80caad6cbc1cae8b0f15ee2f10849bbf80162d2","primary_artifact","versioned_snapshot","vendor_repository","opened_versioned_red_team","04_evidence/sources/S-NV-004.md"
"S-GD-001","O-006","official_research_blog","Genie 3: A new frontier for world models","Google DeepMind","https://deepmind.google/blog/genie-3-a-new-frontier-for-world-models/","2025-08-05","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-GD-001.md"
"S-GD-002","O-006","official_help","Get started with Project Genie","Google Labs","https://support.google.com/labs/answer/16875695?hl=en","current","2026-07-14","live help","primary_documentation","current","vendor_documentation","opened_canonical","04_evidence/sources/S-GD-002.md"
"S-GD-003","O-006","official_product_blog","Project Genie launch","Google","https://blog.google/innovation-and-ai/models-and-research/google-deepmind/project-genie/","2026-01-29","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-GD-003.md"
"S-MT-001","O-007","official_research_blog","Introducing the V-JEPA 2 world model","Meta AI","https://ai.meta.com/blog/v-jepa-2-world-model-benchmarks/","2025-06-11","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-MT-001.md"
"S-MT-002","O-007","research_paper","V-JEPA 2: Self-Supervised Video Models Enable Understanding Prediction and Planning","Meta authors / arXiv","https://arxiv.org/abs/2506.09985","2025-06-11","2026-07-14","arXiv v1","primary_author_report","current","author_report","opened_versioned","04_evidence/sources/S-MT-002.md"
"S-MT-003","O-007","official_code_repository","facebookresearch/vjepa2","Meta","https://github.com/facebookresearch/vjepa2","2026-03-16","2026-07-14","main; V-JEPA 2.1 update","primary_artifact","current","vendor_repository","opened_canonical","04_evidence/sources/S-MT-003.md"
"S-GI-001","O-008","official_company_site","General Intuition","General Intuition","https://www.generalintuition.com/","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-GI-001.md"
"S-GI-002","O-008","official_technical_blog","MIRA: Multiplayer Interactive World Models","General Intuition / MIRA","https://mira-wm.com/blog-post/","current","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-GI-002.md"
"S-GI-003","O-008","official_terms","General Intuition Terms","General Intuition US Inc","https://www.generalintuition.com/terms","2026-06-25","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-GI-003.md"
"S-AMI-001","O-009","official_company_site","AMI Labs","Advanced Machine Intelligence","https://amilabs.xyz/","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-AMI-001.md"
"S-AMI-002","O-009","official_update","AMI official launch","AMI Labs","https://amilabs.xyz/updates","2026-03-10","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-AMI-002.md"
"S-BND-001","O-010","official_model_page","Gemini Robotics","Google DeepMind","https://deepmind.google/models/gemini-robotics/","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-001.md"
"S-BND-002","O-011","official_blog","The Waymo World Model","Waymo","https://waymo.com/blog/2026/02/the-waymo-world-model-a-new-frontier-for-autonomous-driving-simulation/","2026-02-06","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-002.md"
"S-BND-003","O-012","official_blog","1X World Model","1X","https://www.1x.tech/discover/redwood-ai-world-model","2025-06-16","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-003.md"
"S-BND-004","O-013","official_blog","Introducing Foresight","Dexterity","https://dexterity.ai/blog/foresight","2026-03-03","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-004.md"
"S-BND-005","O-014","official_blog","Introducing Copilot4D","Waabi","https://waabi.ai/introducing-copilot4d/","2024-03-15","2026-07-14","live page","primary","medium","company_self_report","opened_canonical","04_evidence/sources/S-BND-005.md"
"S-BND-006","O-015","official_press_release","Wayve launches GAIA-3","Wayve","https://wayve.ai/press/wayve-launches-gaia3/","2025-12-02","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-006.md"
"S-BND-007","O-016","official_technology_page","Technology","FieldAI","https://www.fieldai.com/technology","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-007.md"
"S-BND-008","O-017","official_engineering_blog","World foundation models from research to reality","Applied Intuition","https://www.appliedintuition.com/engineering-blog/world-foundation-models-from-research-to-reality","2026-06-18","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-008.md"
"S-BND-009","O-018","official_press_release","GENE 26.5","Genesis AI","https://www.genesis.ai/press/press-release-gene-265","2026-05-06","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-009.md"
"S-BND-010","O-018","official_code_repository","Genesis World","Genesis project","https://github.com/Genesis-Embodied-AI/genesis-world","current","2026-07-14","main","primary_artifact","current","project_owner","opened_canonical","04_evidence/sources/S-BND-010.md"
"S-BND-011","O-019","official_blog","pi0: Our First Generalist Policy","Physical Intelligence","https://www.pi.website/blog/pi0","2024-10-31","2026-07-14","live page","primary","medium","company_self_report","opened_canonical","04_evidence/sources/S-BND-011.md"
"S-BND-012","O-020","official_blog","RLDX-1","RLWRLD","https://www.rlwrld.ai/en/insight/blog/14","2026-05-07","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-012.md"
"S-BND-013","O-022","official_announcement","Open Physical AI Lab","Luma AI","https://lumalabs.ai/news/luma-open-physical-ai-lab","2026-06-01","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-013.md"
"S-BND-014","O-023","official_product_blog","Sora 2 is here","OpenAI","https://openai.com/index/sora-2/","2025-09-30","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-014.md"
"S-BND-015","O-021","official_announcement","Introducing Robostral Navigate","Mistral AI","https://mistral.ai/news/robostral-navigate/","2026-07-08","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-015.md"
"S-BND-016","O-021","official_announcement","Introducing physics AI at Mistral","Mistral AI","https://mistral.ai/news/introducing-physics-ai-at-mistral/","2026-05-27","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-BND-016.md"
"S-DR03-B01","DR03_BOUNDARY","official_announcement","NVIDIA Isaac GR00T N1","NVIDIA","https://developer.nvidia.com/blog/accelerate-generalist-humanoid-robot-development-with-nvidia-isaac-gr00t-n1/","2025","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-DR03-B01.md"
"S-DR03-B02","DR03_BOUNDARY","official_product_page","Isaac Lab","NVIDIA","https://developer.nvidia.com/isaac/lab","current","2026-07-14","live page","primary","current","vendor_documentation","opened_canonical","04_evidence/sources/S-DR03-B02.md"
"S-DR03-B03","DR03_BOUNDARY","official_product_page","Isaac Sim","NVIDIA","https://developer.nvidia.com/isaac/sim","current","2026-07-14","live page","primary","current","vendor_documentation","opened_canonical","04_evidence/sources/S-DR03-B03.md"
"S-DR03-B04","DR03_BOUNDARY","official_product_page","NVIDIA Omniverse","NVIDIA","https://www.nvidia.com/en-us/omniverse/","current","2026-07-14","live page","primary","current","vendor_documentation","opened_canonical","04_evidence/sources/S-DR03-B04.md"
"S-DR03-B05","DR03_BOUNDARY","official_research_page","Habitat 3.0","Meta AI","https://ai.meta.com/research/publications/habitat-3-0-a-co-habitat-for-humans-avatars-and-robots/","2023","2026-07-14","live page","primary_author_report","older","author_report","opened_canonical","04_evidence/sources/S-DR03-B05.md"
"S-DR03-B06","DR03_BOUNDARY","official_announcement","Amazon million robots and DeepFleet","Amazon","https://www.aboutamazon.com/news/operations/amazon-million-robots-ai-foundation-model","2025","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-DR03-B06.md"
"S-DR03-B07","DR03_BOUNDARY","official_product_page","Tesla AI and Robotics","Tesla","https://www.tesla.com/AI","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-DR03-B07.md"
"S-DR03-C01","DR03_DISCARD","official_research_page","Magma","Microsoft Research","https://www.microsoft.com/en-us/research/video/magma-a-foundation-model-for-multimodal-ai-agents-microsoft-research-forum/","2025","2026-07-14","live page","primary","current","author_report","opened_canonical","04_evidence/sources/S-DR03-C01.md"
"S-DR03-C02","DR03_DISCARD","official_research_blog","SIMA generalist AI agent","Google DeepMind","https://deepmind.google/blog/sima-generalist-ai-agent-for-3d-virtual-environments/","2024-03-13","2026-07-14","live page","primary","medium","company_self_report","opened_canonical","04_evidence/sources/S-DR03-C02.md"
"S-MT-004","O-007","research_paper","V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning","FAIR at Meta / Universidad de Zaragoza / arXiv","https://arxiv.org/abs/2603.14482","2026-06-11","2026-07-14","arXiv v3; v1 2026-03-15","primary_author_report","current","author_report","opened_versioned","04_evidence/sources/S-MT-004.md"
"S-MT-005","O-007","official_model_card","V-JEPA 2 ViT-L/256","Meta / Hugging Face","https://huggingface.co/facebook/vjepa2-vitl-fpc64-256","current","2026-07-14","model card","primary_artifact","current","vendor_artifact","opened_canonical","04_evidence/sources/S-MT-005.md"
"S-MT-006","O-007","official_model_card","V-JEPA 2 ViT-H/256","Meta / Hugging Face","https://huggingface.co/facebook/vjepa2-vith-fpc64-256","current","2026-07-14","model card","primary_artifact","current","vendor_artifact","opened_canonical","04_evidence/sources/S-MT-006.md"
"S-MT-007","O-007","official_model_card","V-JEPA 2 ViT-g/256","Meta / Hugging Face","https://huggingface.co/facebook/vjepa2-vitg-fpc64-256","current","2026-07-14","model card","primary_artifact","current","vendor_artifact","opened_canonical","04_evidence/sources/S-MT-007.md"
"S-MT-008","O-007","official_model_card","V-JEPA 2 ViT-g/384","Meta / Hugging Face","https://huggingface.co/facebook/vjepa2-vitg-fpc64-384","current","2026-07-14","model card","primary_artifact","current","vendor_artifact","opened_canonical","04_evidence/sources/S-MT-008.md"
"S-MT-009","O-007","official_governance_contact","Meta Leadership and Governance Contact","Meta Investor Relations","https://investor.atmeta.com/leadership-and-governance/?section=contact","current","2026-07-14","live page","primary","current","company_authored","opened_canonical","04_evidence/sources/S-MT-009.md"
"S-RUN-003","O-003","official_rules","Runway 2026 AI Festival Official Rules","Runway AI Inc","https://aif.runwayml.com/terms","2026","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-RUN-003.md"
"S-DEC-003","O-004","official_company_site","Decart Company","Decart","https://decart.ai/company","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-DEC-003.md"
"S-NV-005","O-005","official_contact_page","Contact NVIDIA","NVIDIA","https://www.nvidia.com/en-us/contact/","current","2026-07-14","live page","primary","current","company_authored","opened_canonical","04_evidence/sources/S-NV-005.md"
"S-GD-004","O-006","official_terms","Google Terms of Service","Google LLC","https://policies.google.com/terms?hl=en-US","current","2026-07-14","live page","primary_legal_text","current","company_authored","opened_canonical","04_evidence/sources/S-GD-004.md"
"S-OW-001","O-024","news_report","Top developers are pivoting from chatbots to physical AI","Associated Press","https://apnews.com/article/ai-world-models-physical-embodied-ai-9bab5a3febad9832f55f8ada33de57b4","2026-06-23","2026-07-14","live article","credible_third_party","current","journalistic_report","opened_canonical","04_evidence/sources/S-OW-001.md"
"S-OW-002","O-024","official_company_site","Overworld About","Overworld","https://over.world/about","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-OW-002.md"
"S-OW-003","O-024","official_technical_blog","The Path to Real-Time Worlds and Why It Matters","Overworld","https://over.world/blog/the-path-to-real-time-worlds-and-why-it-matters","2026-01-20","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-OW-003.md"
"S-OW-004","O-024","official_model_card","Waypoint-1.5-1B","Overworld / Hugging Face","https://huggingface.co/Overworld/Waypoint-1.5-1B","current","2026-07-14","model card","primary_artifact","current","vendor_artifact","opened_canonical","04_evidence/sources/S-OW-004.md"
"S-OW-005","O-024","official_code_repository","Overworld World Engine","Overworld","https://github.com/Overworldai/world_engine","current","2026-07-14","main","primary_artifact","current","vendor_repository","opened_canonical","04_evidence/sources/S-OW-005.md"
"S-OW-006","O-024","official_organization_page","Overworld GitHub Organization","Overworld","https://github.com/Overworldai","current","2026-07-14","live page","primary","current","company_authored","opened_canonical","04_evidence/sources/S-OW-006.md"
"S-OW-007","O-024","official_careers_page","Overworld Careers","Overworld","https://over.world/careers","current","2026-07-14","live page","primary","current","company_authored","opened_canonical","04_evidence/sources/S-OW-007.md"
"S-OW-008","O-024","official_historical_blog","Towards a Large Open Video Game Dataset","Overworld / Open World Labs","https://over.world/blog/towards-a-large-open-video-game-dataset","2025-05-23","2026-07-14","live page","primary","current","company_authored","opened_canonical","04_evidence/sources/S-OW-008.md"
"S-AUX-001","MANIFOLD","research_paper","RoboScape","Tsinghua University and Manifold AI authors / arXiv","https://arxiv.org/html/2506.23135v1","2025","2026-07-14","arXiv v1","primary_author_report","current","author_report","opened_versioned","04_evidence/sources/S-AUX-001.md"
"S-AUX-002","MANIFOLD","official_code_repository","RoboScape GitHub","RoboScape authors","https://github.com/tsinghua-fib-lab/RoboScape","current_snapshot","2026-07-14","main placeholder","primary_artifact","current","project_owner","opened_snapshot","04_evidence/sources/S-AUX-002.md"
"S-AUX-003","MANIFOLD","research_paper","AirScape","AirScape authors / arXiv","https://arxiv.org/html/2507.08885v2","2025","2026-07-14","arXiv v2","primary_author_report","current","author_report","opened_versioned","04_evidence/sources/S-AUX-003.md"
"S-AUX-004","MANIFOLD","official_code_repository","AirScape Code","EmbodiedCity","https://github.com/EmbodiedCity/AirScape.code","current_snapshot","2026-07-14","main","primary_artifact","current","project_owner","opened_canonical","04_evidence/sources/S-AUX-004.md"
"S-AUX-005","MANIFOLD","official_model_repository","AirScape Model Repository","EmbodiedCity / Hugging Face","https://huggingface.co/EmbodiedCity/Airscape/tree/main","current_snapshot","2026-07-14","main file tree","primary_artifact","current","project_owner","opened_snapshot","04_evidence/sources/S-AUX-005.md"
"S-AUX-006","MANIFOLD","research_paper","Worldscape-MoE","Tsinghua University and Manifold AI authors / arXiv","https://arxiv.org/html/2607.03964v1","2026-07","2026-07-14","arXiv v1","primary_author_report","current","author_report","opened_versioned","04_evidence/sources/S-AUX-006.md"
"S-AUX-007","MANIFOLD","official_project_page","Worldscape-MoE Project Page","Worldscape Team","https://worldscape-moe.com/","current","2026-07-14","live page","primary_project_source","current","project_owner","opened_canonical","04_evidence/sources/S-AUX-007.md"
"S-WL-005","O-001","official_api_documentation","World API Models","World Labs","https://docs.worldlabs.ai/api/models","current","2026-07-14","live docs","primary_documentation","current","vendor_documentation","opened_canonical","04_evidence/sources/S-WL-005.md"
"S-WL-006","O-001","official_technical_blog","Taxonomy of World Models","World Labs","https://www.worldlabs.ai/blog/taxonomy-of-world-models","current","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-WL-006.md"
"S-AUX-008","MANIFOLD","official_base_model_license","CogVideoX-5b-I2V LICENSE","Z.ai / CogVideoX authors","https://huggingface.co/zai-org/CogVideoX-5b-I2V/blob/main/LICENSE","current_snapshot","2026-07-14","official license file","primary_artifact","current","project_owner","opened_canonical","04_evidence/sources/S-AUX-008.md"
"S-ODY-003","O-002","official_product_blog","The GPT-2 Moment for World Models Is Here","Odyssey","https://odyssey.ml/the-gpt-2-moment-for-world-models","2026-01-23","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-ODY-003.md"
"S-ODY-004","O-002","official_technical_blog","Starchild-1","Odyssey","https://odyssey.ml/introducing-starchild-1","2026-05-17","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-ODY-004.md"
"S-ODY-005","O-002","official_technical_blog","Agora-1","Odyssey","https://odyssey.ml/introducing-agora-1","2026-05-18","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-ODY-005.md"
"S-ODY-006","O-002","official_partnership_announcement","Our $310 Million Fundraise to Accelerate World Simulation","Odyssey","https://odyssey.ml/our-series-b","2026-06-17","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-ODY-006.md"
"S-DEC-004","O-004","official_api_documentation","Oasis 3 Preview Realtime","Decart","https://docs.platform.decart.ai/models/realtime/oasis-3","current","2026-07-14","live docs","primary_documentation","current","vendor_documentation","opened_canonical","04_evidence/sources/S-DEC-004.md"
"S-DEC-005","O-004","official_code_repository","Decart Robotics SDK","DecartAI","https://github.com/DecartAI/decart-robotics","current_snapshot","2026-07-14","main","primary_artifact","current","vendor_repository","opened_canonical","04_evidence/sources/S-DEC-005.md"
"S-DEC-006","O-004","official_package_registry","decart-oasis 0.0.1","Decart / PyPI","https://pypi.org/project/decart-oasis/","2026-06-09","2026-07-14","0.0.1","primary_artifact","current","publisher_metadata","opened_versioned","04_evidence/sources/S-DEC-006.md"
"S-GI-004","O-008","official_code_repository","MIRA official code","MIRA team","https://github.com/mira-wm/mira","current_snapshot","2026-07-14","main; release 2026-07-05","primary_artifact","current","project_owner","opened_canonical","04_evidence/sources/S-GI-004.md"
"S-WL-007","O-001","vendor_hosted_partner_case_study","Escape.ai x Marble","World Labs","https://www.worldlabs.ai/case-studies/escape","2025-11-12","2026-07-14","live page","vendor_primary_case","current","vendor_hosted_case","opened_canonical","04_evidence/sources/S-WL-007.md"
"S-ODY-007","O-002","official_technical_blog","Odyssey-2 Max","Odyssey","https://odyssey.ml/introducing-odyssey-2-max","2026-04-21","2026-07-14","live page","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-ODY-007.md"
"S-DEC-007","O-004","independent_media_hands_on","Decart Oasis 3 hands-on","TechCrunch","https://techcrunch.com/2026/06/10/decarts-new-world-model-can-simulate-hours-of-photorealistic-driving-with-some-caveats/","2026-06-10","2026-07-14","live article","independent_report","current","editorial_hands_on","opened_canonical","04_evidence/sources/S-DEC-007.md"
"S-NV-006","O-005","partner_first_party_case","Agile Robots early access to NVIDIA Cosmos 3","Agile Robots SE","https://www.agile-robots.com/en/news/detail/simulating-worlds-agile-robots-early-access-to-nvidia-cosmos-3/","2026-06-01","2026-07-14","live page","partner_first_party","current","partner_report","opened_canonical","04_evidence/sources/S-NV-006.md"
"S-NV-007","O-005","original_model_license","OpenMDW 1.1","OpenMDW / Linux Foundation project","https://openmdw.ai/license/1-1/","v1.1","2026-07-14","license v1.1","primary_legal_text","current","license_publisher","opened_versioned","04_evidence/sources/S-NV-007.md"
"S-GD-005","O-006","independent_benchmark_paper","WorldMark","WorldMark authors / arXiv","https://arxiv.org/abs/2604.21686","2026-04-23","2026-07-14","arXiv 2604.21686","independent_academic","current","author_report","opened_versioned","04_evidence/sources/S-GD-005.md"
"S-GD-006","O-006","internal_adopter_technical_page","The Waymo World Model","Waymo","https://waymo.com/blog/2026/02/the-waymo-world-model-a-new-frontier-for-autonomous-driving-simulation/","2026-02-06","2026-07-14","live page","internal_adopter_first_party","current","group_internal_report","canonical_alias_of_S-BND-002_distinct_object_mapping_no_independence","04_evidence/sources/S-GD-006.md"
"S-MT-010","O-007","peer_reviewed_followup_reproduction","What Drives Success in Physical Planning with JEPA World Models","Terver et al / TMLR / arXiv","https://arxiv.org/abs/2512.24497","2026-05-18","2026-07-14","arXiv v3; TMLR accepted","peer_reviewed_mixed_origin","current","authors_include_meta_fair","opened_versioned","04_evidence/sources/S-MT-010.md"
"S-GI-005","O-008","research_paper","Multiplayer Interactive World Models with Representation Autoencoders","MIRA authors / arXiv","https://arxiv.org/abs/2607.05352","2026-07-07","2026-07-14","arXiv v2","primary_author_report","current","author_report","opened_versioned","04_evidence/sources/S-GI-005.md"
"S-GI-006","O-008","independent_media_report","General Intuition commercial route","TechCrunch","https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/","2026-06-25","2026-07-14","live article","independent_report","current","editorial_report","opened_canonical","04_evidence/sources/S-GI-006.md"
"S-AMI-003","O-009","government_company_registry","ADVANCED MACHINE INTELLIGENCE","L Annuaire des Entreprises / INSEE VIES INPI","https://annuaire-entreprises.data.gouv.fr/entreprise/994675254","2026-06-03","2026-07-14","SIREN 994675254","government_primary_record","current","public_registry","opened_search_and_registry_record","04_evidence/sources/S-AMI-003.md"
"S-OW-009","O-024","official_research_preprint","Waypoint-1.5 technical preprint","Overworld","https://github.com/Overworldai/Biome/blob/main/research/WP1_5_Paper.pdf","2026-07-01","2026-07-14","repo PDF snapshot","primary_author_report","current","project_owner","opened_repository_artifact","04_evidence/sources/S-OW-009.md"
"S-WL-008","O-001","official_product_blog","Marble: A Multimodal World Model","World Labs","https://www.worldlabs.ai/blog/marble-world-model","2025-11-12","2026-07-14","live page","primary","current","company_self_report","opened_canonical_phase3_refresh","04_evidence/sources/S-WL-008.md"
"S-WL-009","O-001","official_product_release_notes","Marble Release Notes","World Labs","https://docs.worldlabs.ai/marble/release-notes","2026-04-02","2026-07-14","live docs snapshot","primary_documentation","current","vendor_documentation","opened_canonical_phase3_refresh","04_evidence/sources/S-WL-009.md"
"S-WL-010","O-001","official_api_pricing","World API Pricing","World Labs","https://docs.worldlabs.ai/api/pricing","current; observed cost table through 2026-06-25","2026-07-14","live docs snapshot","primary_documentation","current","vendor_documentation","opened_canonical_phase3_refresh","04_evidence/sources/S-WL-010.md"
