"map_id","page","page_title","content_block","claim_text","claim_type","claim_ids","source_ids","canonical_artifact_refs","monitor_ids","evidence_status","guardrail","as_of"
"P02-12","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","overworld_node","Overworld 主落点为实时交互世界流 × 内容与探索；观察对象；开放权重和本地运行；叠加地域条件徽标","object_level_landscape_mapping","C-P2-020;C-P2-021;C-GEO-010","S-OW-009;S-OW-004;S-OW-006","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","地域条件徽标必须保留；法律主体和正式地域关闭前不得占席","2026-07-14"
"P02-13","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","ami_node","AMI Labs 作为图外早期信号，不赋予确定技术坐标或获得方式","object_level_landscape_mapping","C-SCP-011;C-P2-018","S-AMI-001","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","早期信号不等于技术合格对象；使命自述不能替代具体技术资产","2026-07-14"
"P03-01","3","五席代表五种互补路径，差异在产品形态与证据成熟度","technical_evidence","五席分别具位姿导航、动作条件未来、导航条件世界、驾驶动作展开与前向动力学证据","cross_object_technical_synthesis","C-P2-001;C-P2-004;C-P2-005;C-P2-007;C-P2-010","S-WL-002;S-ODY-003;S-RUN-001;S-DEC-004;S-NV-004","05_candidates/phase_2_candidate_validation.csv;07_synthesis/competitive_matrix.csv","","component_scoped","只比较证据形态，不拼接不可比指标或形成能力排序","2026-07-14"
"P03-02","3","五席代表五种互补路径，差异在产品形态与证据成熟度","access_and_license","五席外部获得方式分别覆盖公开计价接口、文档化原型、申请或洽谈入口、预览接口和可下载自托管组件","cross_object_access_synthesis","C-P3-002;C-P3-005;C-P2-006;C-P3-011;C-P3-016;C-P3-029","S-WL-004;S-WL-010;S-ODY-009;S-RUN-001;S-RUN-005;S-DEC-008;S-NV-002","07_synthesis/competitive_matrix.csv","","configuration_comparison","获得方式不等于连续服务、许可闭合或商业采用","2026-07-14"
"P03-03","3","五席代表五种互补路径，差异在产品形态与证据成熟度","commercial_adoption","五席商业采用上限分别止于供应商托管原型、合同或云合作、公司自报合作、公开计价与独立体验、伙伴自报早期集成","cross_object_evidence_ceiling","C-P3-025;C-P3-031;C-P3-026;C-P3-032;C-P3-013;C-P3-035;C-P3-018;C-P3-023;C-P3-033;C-P3-034","S-WL-007;S-WL-011;S-ODY-002;S-ODY-006;S-RUN-004;S-DEC-008;S-DEC-007;S-NV-006;S-NV-012;S-NV-013","07_synthesis/competitive_matrix.csv","","evidence_ceiling","截至 2026-07-14 未恢复到客户第一方付费生产采用","2026-07-14"
"P03-04","3","五席代表五种互补路径，差异在产品形态与证据成熟度","manifold_meaning","五席分别代表空间世界接口、实时世界流、内容平台延伸、任务型计费接口和自托管组件路径","analyst_inference_conditional","C-P3-004;C-P3-009;C-P3-014;C-P3-019;C-P3-024","S-WL-003;S-ODY-003;S-RUN-001;S-DEC-004;S-NV-001","05_candidates/checkpoint_2_v1_0a_control_patch.md;07_synthesis/competitive_matrix.csv","","conditional_against_public_anchor","对 Manifold 的意义是条件性分析，不证明现实替代","2026-07-14"
"P03-05","3","五席代表五种互补路径，差异在产品形态与证据成熟度","portfolio_complementarity","固定五席用于覆盖五种互补风险路径，不表示公司或能力优劣","approved_selection_rationale","","","05_candidates/checkpoint_2_approval_record.md;07_synthesis/shortlist_memo.md","","approved_portfolio_structure","不生成总分、加权分或排序","2026-07-14"
"P03-06","3","五席代表五种互补路径，差异在产品形态与证据成熟度","attachment_monitoring","完整反证与 17 条固定五席信号保留在后台附件，不进入主页面","monitoring_rule","","","07_synthesis/monitoring_matrix.csv","M-WL-01;M-WL-02;M-WL-03;M-WL-04;M-ODY-01;M-ODY-02;M-ODY-03;M-RUN-01;M-RUN-02;M-RUN-03;M-DEC-01;M-DEC-02;M-DEC-03;M-NV-01;M-NV-02;M-NV-03;M-NV-04","verified_monitoring_baseline","信号触发事实重审，不自动改变五席","2026-07-14"
"P03-07","3","五席代表五种互补路径，差异在产品形态与证据成熟度","public_task_and_potential_jtbd","五席公开任务分别对应空间生成与导航、实时世界流、可探索世界与机器人展开、驾驶任务和物理智能组件","cross_object_task_synthesis","C-P3-001;C-P3-005;C-P2-005;C-P3-011;C-P3-015;C-P3-020","S-WL-002;S-ODY-009;S-RUN-001;S-RUN-005;S-DEC-004;S-NV-002","07_synthesis/competitive_matrix.csv","","conditional_task_relevance","任务接近不证明共同客户、预算或采购用途","2026-07-14"
"P03-08","3","五席代表五种互补路径，差异在产品形态与证据成熟度","platform_chain_and_friction","接口、账户、SDK、运行时与自托管组件形成不同平台链路，同时带来条款、许可、硬件与集成摩擦","cross_object_platform_chain_synthesis","C-P3-002;C-P3-005;C-P3-007;C-P2-006;C-P3-011;C-P3-012;C-P3-015;C-P3-017;C-P2-010;C-P3-029;C-SCP-006","S-WL-004;S-WL-010;S-ODY-009;S-ODY-002;S-RUN-001;S-RUN-005;S-RUN-006;S-DEC-004;S-DEC-009;S-NV-004;S-NV-002;S-NV-003","07_synthesis/competitive_matrix.csv","","conditional_platform_chain","不从可下载或可调用推断跨硬件可移植性、服务等级或成本优势","2026-07-14"
"P04-01","4","World Labs 已开放空间世界接口，动态交互与采用仍待证","technical_boundary","RTFM 以目标位姿条件未来视图并保留空间记忆；动态物体仍待验证","company_reported_fact_and_limit","C-P3-001","S-WL-002","06_dossiers/O-001_world_labs_dossier.md","","primary_reopened","RTFM 与 Marble/API 成熟度隔离","2026-07-14"
"P04-02","4","World Labs 已开放空间世界接口，动态交互与采用仍待证","access_and_license","分立的 Marble 与 World API 已提供公开计价的专有接口","legal_and_product_fact","C-P3-002","S-WL-004;S-WL-010","06_dossiers/O-001_world_labs_dossier.md","","primary_reopened","公开价格不等于客户采用","2026-07-14"
"P04-03","4","World Labs 已开放空间世界接口，动态交互与采用仍待证","data_rights","服务条款包含竞争用途限制和广泛用户内容权利，构成采购摩擦","legal_data_rights_fact","C-P3-027","S-WL-004","06_dossiers/O-001_world_labs_dossier.md","","primary_reopened","不得写成所有账户均可退出","2026-07-14"
"P04-04","4","World Labs 已开放空间世界接口，动态交互与采用仍待证","adoption_and_counterevidence","截至 2026-07-14 只恢复到供应商托管原型和工作流演示，未恢复客户第一方付费生产采用","evidence_ceiling","C-P3-025;C-P3-031;C-P3-003","S-WL-007;S-WL-011;S-WL-012","06_dossiers/O-001_world_labs_dossier.md","","mixed_company_and_independent","不写 paid pilot、production 或 validated system","2026-07-14"
"P04-05","4","World Labs 已开放空间世界接口，动态交互与采用仍待证","strategic_relation","空间世界接口构成条件性平台压力；关键触发器为 RTFM 的动态交互获得独立复现，或 World API 推出版本化动态交互服务","analyst_inference_conditional","C-P3-001;C-P3-004","S-WL-002;S-WL-003","06_dossiers/O-001_world_labs_dossier.md","M-WL-01;M-WL-02;M-WL-04","conditional_against_public_anchor","RTFM 与 World API 分立；任一触发器只重审对应组件，不互借能力、开放状态或成熟度","2026-07-14"
"P05-01","5","Odyssey 已将实时世界流写入开发者接口，实际开放与稳定服务仍待证","technical_and_access","Odyssey-2 Pro 文档化历史状态与动作条件未来，并提供密钥及 JavaScript/Python 接入","company_reported_fact","C-P3-005","S-ODY-009","06_dossiers/O-002_odyssey_dossier.md","","vendor_documented_not_independently_executed","实际账户和持续调用未独立确认","2026-07-14"
"P05-02","5","Odyssey 已将实时世界流写入开发者接口，实际开放与稳定服务仍待证","service_limit","厂商文档列出当前默认单流上限 150 秒、当前默认单连接上限 60 分钟，以及无活动流 15 分钟自动断开；这些运营限制均不构成服务等级保证","vendor_operations_fact","C-P3-006;C-P3-036","S-ODY-011;S-ODY-014","06_dossiers/O-002_odyssey_dossier.md","","primary_reopened","150 秒和 60 分钟均为当前默认配置，不外推为所有账户或合同永久不变的硬上限；15 分钟是无活动流断开；均不是服务等级或可靠性验证","2026-07-14"
"P05-03","5","Odyssey 已将实时世界流写入开发者接口，实际开放与稳定服务仍待证","license_and_data","原型许可、可撤销访问、无默认服务等级和广泛客户数据许可构成企业摩擦","legal_fact","C-P3-007;C-P3-028","S-ODY-002","06_dossiers/O-002_odyssey_dossier.md","","primary_reopened","客户所有权与 Odyssey 使用许可并存","2026-07-14"
"P05-04","5","Odyssey 已将实时世界流写入开发者接口，实际开放与稳定服务仍待证","commercial_ceiling","合同框架与供应商自报云合作不证明具名客户、付费试点或生产采用","evidence_ceiling","C-P3-026;C-P3-032","S-ODY-002;S-ODY-006","06_dossiers/O-002_odyssey_dossier.md","","negative_finding_plus_supplier_report","AWS/Annapurna 关系不是客户采用","2026-07-14"
"P05-05","5","Odyssey 已将实时世界流写入开发者接口，实际开放与稳定服务仍待证","strategic_relation","Odyssey 可能形成实时世界流基础设施；关键触发器是独立账户在公开价格和服务等级下长时稳定调用","analyst_inference_conditional","C-P3-009","S-ODY-003","06_dossiers/O-002_odyssey_dossier.md","M-ODY-01;M-ODY-02;M-ODY-03","conditional_against_public_anchor","Max 不借给 Pro","2026-07-14"
"P06-01","6","Runway 同押可探索世界与机器人，两条路线均处早期","technical_boundary","Worlds 的导航条件世界支持技术判断；Robotics 不向 Worlds 借出能力或成熟度","phase2_gate_inference","C-P2-005","S-RUN-001","06_dossiers/O-003_runway_dossier.md","","component_scoped","Robotics 不借技术资格给 Worlds","2026-07-14"
"P06-02","6","Runway 同押可探索世界与机器人，两条路线均处早期","product_routes","Worlds 为申请制早期入口；Robotics 提供 SDK、云端、定制和本地部署洽谈路径，两者分立","company_reported_product_route","C-P2-006;C-P3-011;C-P3-012","S-RUN-001;S-RUN-005;S-RUN-006","06_dossiers/O-003_runway_dossier.md","","company_reported","实际访问未独立确认；不得写成已交付或 GA","2026-07-14"
"P06-03","6","Runway 同押可探索世界与机器人，两条路线均处早期","evaluation_boundary","Runway 报告单一 Franka tabletop 域的公司自评相对策略排序实验","company_reported_evaluation","C-P3-010","S-RUN-004","06_dossiers/O-003_runway_dossier.md","","non_comparable_metric","已删除无法由本地截图或机器可读正文独立复核的精确相关系数；不写成绝对成功率或跨机器人验证","2026-07-14"
"P06-04","6","Runway 同押可探索世界与机器人，两条路线均处早期","commercial_ceiling","合作只见 Runway 单方说明，未恢复伙伴侧试点、生产部署或收入证据","evidence_ceiling","C-P3-013","S-RUN-004","06_dossiers/O-003_runway_dossier.md","","company_reported_only","不写 PoC、paid pilot 或 production","2026-07-14"
"P06-05","6","Runway 同押可探索世界与机器人，两条路线均处早期","strategic_relation","内容平台可能延伸到可探索世界与机器人应用；关键触发器是任一组件获得独立调用和伙伴侧生产确认","analyst_inference_conditional","C-P3-014","S-RUN-001","06_dossiers/O-003_runway_dossier.md","M-RUN-01;M-RUN-02;M-RUN-03","conditional_against_public_anchor","创意平台成熟度不得借给 GWM","2026-07-14"
"P07-01","7","Decart 已把驾驶世界按秒计费，企业可靠性仍待证","technical_product","Oasis 3 有状态会话持续接收油门和转向并生成三向后续视图","vendor_technical_fact","C-P3-015","S-DEC-004","06_dossiers/O-004_decart_dossier.md","","primary_reopened","不扩展到其他 Decart 组件","2026-07-14"
"P07-02","7","Decart 已把驾驶世界按秒计费，企业可靠性仍待证","pricing","Oasis 3 预览接口公开账户并按 0.02 美元/秒计费","vendor_pricing_fact","C-P3-016","S-DEC-008","06_dossiers/O-004_decart_dossier.md","","primary_reopened","计费入口不是已付费客户或采用","2026-07-14"
"P07-03","7","Decart 已把驾驶世界按秒计费，企业可靠性仍待证","legal_boundary","预览服务可撤销、无连续性保证，并保留输入输出用于训练改进的权利","legal_fact","C-P3-017","S-DEC-009","06_dossiers/O-004_decart_dossier.md","","primary_reopened","MIT 只覆盖 thin client/examples","2026-07-14"
"P07-04","7","Decart 已把驾驶世界按秒计费，企业可靠性仍待证","independent_counterevidence","独立体验报告路线记忆、控制、漂移和碰撞问题；不是系统验证或商业采用","independent_counterevidence","C-P3-018","S-DEC-007","06_dossiers/O-004_decart_dossier.md","","independent_product_experience","不是系统 benchmark 或商业采用","2026-07-14"
"P07-05","7","Decart 已把驾驶世界按秒计费，企业可靠性仍待证","strategic_relation","计费接口把竞争推向具体驾驶任务；关键触发器是正式商用并闭合服务等级、数据和责任边界","analyst_inference_conditional","C-P3-019","S-DEC-004","06_dossiers/O-004_decart_dossier.md","M-DEC-01;M-DEC-02;M-DEC-03","conditional_against_public_anchor","不得添加未来市场竞争机制","2026-07-14"
"P08-01","8","Cosmos 3 形成自托管组件路径，动作产品尚未闭合","technical_boundary","动作条件前向动力学具可运行材料和自托管路径，同时存在漂移、几何与碰撞限制","company_reported_fact_and_limit","C-P3-020","S-NV-002","06_dossiers/O-005_nvidia_cosmos_3_dossier.md","","version_pinned_primary","Gate 2 只由 forward dynamics 闭合","2026-07-14"
"P08-02","8","Cosmos 3 形成自托管组件路径，动作产品尚未闭合","serving_versions","固定版本文档化 policy、forward 与 inverse 自托管路径，但尚未独立执行为稳定动作运行时","versioned_artifact_fact","C-P3-021;C-P3-029","S-NV-018;S-NV-002","06_dossiers/O-005_nvidia_cosmos_3_dossier.md","","version_pinned","文档路径不等于独立执行或 stable runtime","2026-07-14"
"P08-03","8","Cosmos 3 形成自托管组件路径，动作产品尚未闭合","nim_boundary","Cosmos3-Generator NIM 产品版本为 Release 1.0.0 初始正式发布；官方支持页只列文生和图生视频，未列动作模式","component_support_fact","C-P3-022;C-P3-030","S-NV-009;S-NV-010","06_dossiers/O-005_nvidia_cosmos_3_dossier.md","","versioned_product_fact","3.0.0 只指文档快照；不得写成 Generator 产品版本或动作 NIM 正式发布","2026-07-14"
"P08-04","8","Cosmos 3 形成自托管组件路径，动作产品尚未闭合","adoption_boundary","动作核心采用只到伙伴自报早期测试、集成和内部部署；相邻生态不提升该证据","partner_evidence_synthesis","C-P3-023;C-P3-033;C-P3-034","S-NV-006;S-NV-012;S-NV-013","06_dossiers/O-005_nvidia_cosmos_3_dossier.md","","partner_reported_tiered","均不升级为客户侧付费生产采用","2026-07-14"
"P08-05","8","Cosmos 3 形成自托管组件路径，动作产品尚未闭合","strategic_relation","自托管组件形成条件性平台路径；关键触发器是稳定动作运行时或动作 NIM 获得独立复现","analyst_inference_conditional","C-P3-024","S-NV-001","06_dossiers/O-005_nvidia_cosmos_3_dossier.md","M-NV-01;M-NV-02;M-NV-04","conditional_against_public_anchor","开放 artifact 和伙伴自报不是企业标准","2026-07-14"
"P08-06","8","Cosmos 3 形成自托管组件路径，动作产品尚未闭合","license_and_deployment_dependencies","模型材料、NIM 与第三方依赖许可分层；硬件范围、总体拥有成本和部署权仍需逐项核验","component_license_boundary","C-P2-010;C-SCP-006;C-P3-020","S-NV-004;S-NV-003;S-NV-002;S-NV-017","06_dossiers/O-005_nvidia_cosmos_3_dossier.md","M-NV-03","component_specific_license","不得写成 Cosmos 全栈统一开源，也不得从可下载推断跨硬件或成本优势","2026-07-14"
"P09-01","9","四个观察对象与一个早期信号，只在关键证据出现时重审","genie_watch","Genie 3 为观察对象；封闭模型与消费者原型；重审需企业或开发者入口及具名外部集成","watch_only_summary","C-P2-012;C-P2-013","S-GD-001;S-GD-003;S-GD-006","07_synthesis/watch_only_monitoring.csv","W-GD-01","core_watch_not_selected","WorldMark 只作技术参考；不作强直接对标","2026-07-14"
"P09-02","9","四个观察对象与一个早期信号，只在关键证据出现时重审","mira_watch","MIRA 为观察对象；公开技术证据集中在 Rocket League 虚拟物理域；重审需第一方证据确认实际交付组件、跨域独立验证和具名客户","watch_only_summary","C-P2-016;C-P2-017","S-GI-005;S-GI-006","07_synthesis/watch_only_monitoring.csv","W-GI-01","core_not_selected","匿名客户与虚拟域结果不证明商业接口实际交付 MIRA 世界模型，也不自动改变观察状态","2026-07-14"
"P09-03","9","四个观察对象与一个早期信号，只在关键证据出现时重审","overworld_watch","Overworld 为观察对象并叠加地域条件徽标；开放权重和本地运行已成立，但法律实体、长时一致性和采用仍未闭合","watch_only_summary","C-P2-020;C-P2-021;C-GEO-010","S-OW-009;S-OW-004;S-OW-006","07_synthesis/watch_only_monitoring.csv","W-OW-01","core_geography_conditional","地域关闭前不得占席","2026-07-14"
"P09-04","9","四个观察对象与一个早期信号，只在关键证据出现时重审","meta_watch","Meta 为观察对象；仅 2-AC 提供动作条件路径；重审需跨动作域复现、许可闭合和产品或客户入口","watch_only_summary","C-P2-014;C-P2-015","S-MT-003","07_synthesis/watch_only_monitoring.csv","W-MT-01","core_watch_not_selected","base 与 2.1 不借 2-AC action gate","2026-07-14"
"P09-05","9","四个观察对象与一个早期信号，只在关键证据出现时重审","ami_early_signal","AMI 为早期信号；非中国地域已闭合，但尚未恢复到可验证的自有技术资产或外部入口","watch_only_summary","C-P2-018;C-P2-019","S-AMI-001;S-AMI-003","07_synthesis/watch_only_monitoring.csv","W-AMI-01","discovery_isolation","团队历史与承诺不能借作当前能力；负面结论只表示截至研究日未恢复到证据","2026-07-14"
"P10-01","10","Manifold 应锁定交付标准、验证资产与权利边界","rights_action","无悔动作之一是锁定输入输出数据权、模型改进权、部署范围和再分发规则","analyst_synthesis","C-P3-002;C-P3-007;C-P3-017;C-P3-027;C-P3-028;C-P2-010;C-SCP-006","S-WL-004;S-ODY-002;S-DEC-009;S-NV-004;S-NV-003","07_synthesis/cross_comparison.md","","cross_object_synthesis","建议取决于 Manifold 内部交付和客户治理要求","2026-07-14"
"P10-02","10","Manifold 应锁定交付标准、验证资产与权利边界","validation_action","无悔动作之一是建立动作忠实度、持久状态、几何碰撞、失败率、延迟和总体拥有成本的共同验证资产","analyst_synthesis","C-P3-003;C-P3-005;C-P3-006;C-P3-010;C-P3-018;C-P3-020","S-WL-012;S-ODY-009;S-ODY-011;S-RUN-004;S-DEC-007;S-NV-002","07_synthesis/cross_comparison.md","","evidence_gap_driven_recommendation","不可比指标不做排名；负向结论只表示截至 cutoff 未恢复到证据，不证明现实中绝对不存在","2026-07-14"
"P10-03","10","Manifold 应锁定交付标准、验证资产与权利边界","adoption_trigger","客户第一方确认付费生产部署或续约，才触发商业采用及竞争关系重审","monitoring_rule","C-P3-025;C-P3-026;C-P3-013;C-P3-035;C-P3-023","S-WL-007;S-ODY-002;S-RUN-004;S-DEC-008;S-DEC-007;S-NV-006","07_synthesis/monitoring_matrix.csv","M-WL-03;M-ODY-03;M-RUN-03;M-DEC-03;M-NV-02","evidence_ceiling_rule","截至 2026-07-14 未恢复到相关证据；价格页、申请表、供应商或伙伴自报不单独触发商业采用及竞争关系重审","2026-07-14"
"P10-04","10","Manifold 应锁定交付标准、验证资产与权利边界","fixed_five_monitoring","完整 17 条固定五席信号保留在监测附件；主页面只呈现五类最高价值触发器","verified_monitoring_baseline","","","07_synthesis/monitoring_matrix.csv;07_synthesis/phase_4_comparison_qa.md","M-WL-01;M-WL-02;M-WL-03;M-WL-04;M-ODY-01;M-ODY-02;M-ODY-03;M-RUN-01;M-RUN-02;M-RUN-03;M-DEC-01;M-DEC-02;M-DEC-03;M-NV-01;M-NV-02;M-NV-03;M-NV-04","verified_17_signals","每类状态分别重审，不互借","2026-07-14"
"P10-05","10","Manifold 应锁定交付标准、验证资产与权利边界","watch_only_monitoring","五个非重点对象的观察信号保留在后台附件，触发后不自动换席","approved_monitoring_rule","","","07_synthesis/watch_only_monitoring.csv","W-GD-01;W-GI-01;W-OW-01;W-MT-01;W-AMI-01","verified_5_watch_only","固定五席只有用户新决策可改变","2026-07-14"
"P10-06","10","Manifold 应锁定交付标准、验证资产与权利边界","delivery_unit_action","无悔动作之一是定义模型、接口、部署服务和联合项目的标准交付单元","internal_dependency_recommendation","","","01_inputs/user_materials/day0_internal_input.md;02_anchor/manifold_anchor.md","","internal_unknown_driven_recommendation","这是条件性建议，不是外部市场事实","2026-07-14"
