"object_id","canonical_object","analysis_unit","headquarters_or_project_owner_location","object_type","scope_status","funnel_layer","criterion_state_evolution","criterion_action_or_interaction","criterion_physical_spatial_task","strategic_relationship_gate","eligibility_reason","exclusion_reason","source_status","confidence","as_of_date"
"O-011","Waymo World Model","project","Waymo; US","vertical_internal_component","boundary_excluded","boundary_vertical","yes","yes","yes_driving","fails_hard_category","useful vertical benchmark","internal autonomous-driving simulation component","primary_source_reopened","high","2026-07-14"
"O-012","1X / 1XWM","project","1X; US/Norway","vertical_internal_component","boundary_excluded","boundary_vertical_robotics","yes","yes","yes_robotics","fails_hard_category","useful policy-evaluation boundary","serves own NEO/Redwood robot stack","primary_source_reopened","high","2026-07-14"
"O-013","Dexterity / Foresight","project","Dexterity; US","vertical_internal_component","boundary_excluded","boundary_vertical_robotics","yes","yes","yes_robotics","fails_hard_category","useful warehouse robotics boundary","internal intelligence layer for Dexterity systems","primary_source_reopened","high","2026-07-14"
"O-014","Waabi / Copilot4D","project","Waabi; Canada/US","vertical_internal_component","boundary_excluded","boundary_vertical_av","yes","yes","yes_driving","fails_hard_category","useful AV boundary","self-driving prediction/simulation component","primary_source_reopened","high","2026-07-14"
"O-015","Wayve / GAIA-3","project","Wayve; UK","vertical_internal_component","boundary_excluded","boundary_vertical_av","yes","yes","yes_driving","fails_hard_category","useful AV evaluation boundary","designed to evaluate and validate Wayve driving AI","primary_source_reopened","high","2026-07-14"
"O-016","FieldAI","company/platform","US","robot_foundation_model_and_internal_component","boundary_excluded","boundary_robotics","yes_internal","yes","yes_robotics","fails_hard_category","adjacent physical-AI route","robot foundation models and deployed robot stack","primary_source_reopened","high","2026-07-14"
"O-017","Applied Intuition","company/platform","US","simulation_data_toolchain","boundary_excluded","boundary_simulation_tools","n/a","n/a","yes_vertical","fails_hard_category","important enablement platform","simulation/synthetic-data/evaluation stack using external base models","primary_source_reopened","high","2026-07-14"
"O-018","Genesis AI / GENE + Genesis World","DR-02 input row; two components split in component_register.csv","US/global","robot_foundation_model_plus_simulator","boundary_excluded","boundary_robotics_and_simulation","n/a","yes_policy","yes_robotics","fails_hard_category","input-row lineage retained for 23-object audit","GENE is robot FM; Genesis World is simulation platform; neither may be combined to bypass exclusions","primary_sources_reopened_component_split","high","2026-07-14"
"O-019","Physical Intelligence / pi0","company/project","US","vla_robot_foundation_model","boundary_excluded","boundary_vla","n/a","yes_policy_output","yes_robotics","fails_hard_category","important robot-policy route","generalist robot policy/VLA","primary_source_reopened","high","2026-07-14"
"O-020","RLWRLD / RLDX-1","company/project","South Korea","robot_foundation_model","boundary_excluded","boundary_robotics","future","yes_policy","yes_robotics","fails_hard_category","adjacent dexterity route","world model is roadmap; current object is robot foundation model","primary_source_reopened","high","2026-07-14"
"O-021","Mistral / Emmi / Robostral","company initiatives","France","agent_policy_and_physics_solver","discarded","discard","no_independent_world_dynamics","yes_policy_or_solver","vertical","fails_object_test","no qualifying standalone world-model object recovered","navigation policy and engineering physics agent/solver","primary_sources_reopened","high","2026-07-14"
"O-022","Luma / Open Physical AI Lab","company initiative","US","future_research_direction","boundary_excluded","boundary_pending_future","future","future","future","fails_current_object_test","watch for future concrete asset","current announcement is intent; main public products remain media/3D","primary_source_reopened","medium_high","2026-07-14"
"O-023","OpenAI / Sora 2","project","OpenAI; US","video_audio_generation","boundary_excluded","boundary_pure_video","video_generation","no_continuous_action_loop","weak_simulation_claim","fails_hard_category","useful pure-video boundary","officially video/audio generator; no persistent action-conditioned loop","primary_source_reopened","high","2026-07-14"
"O-024","Overworld","company; Waypoint-1.5 technical core with World Engine and Biome access layers","Providence Rhode Island US provisional; legal entity unresolved","startup","cross_source_discovery;geography_conditional","core_collection","yes","yes_navigation_control_with_rolling_history","yes_virtual_spatial_navigation_and_realtime_simulation","conditional_pass_against_public_anchor:potential_product_substitution+potential_platform_substitution","action-conditioned rolling history closes navigation Gate 2; open weights runtime and local client support only conditional Gate 3 mechanisms against the public anchor","Providence operating evidence exists but legal entity registration jurisdiction commercial adoption and independent long-horizon geometry physics and persistence validation remain unresolved; cannot occupy a recommendation seat while geography is conditional","phase2_model_engine_preprint_and_location_sources_reopened","medium","2026-07-14"
